,return,decile_rank,fip_scores_mid
MKTX,0.44818791394133695,9,-0.24242424242424243
GPN,0.5154764620883701,9,-0.22943722943722944
SO,0.40256102440976527,9,-0.22077922077922085
WU,0.5107084019769361,9,-0.2034632034632035
INFO,0.47814005187106456,9,-0.20346320346320346
MSFT,0.49329067804141036,9,-0.19913419913419916
RMD,0.6083794006400942,9,-0.1991341991341991
MA,0.40954895489549026,9,-0.1991341991341991
NEE,0.41693324802729426,9,-0.1991341991341991
EFX,0.39797211660329657,9,-0.19480519480519481
NVR,0.49886966551326317,9,-0.19047619047619047
CPRT,0.7246575342465755,9,-0.18181818181818188
LDOS,0.5670975684826081,9,-0.16883116883116883
COST,0.41077287641268856,9,-0.16450216450216448
MCO,0.48386178630386434,9,-0.16450216450216448
DVA,0.4562664329535504,9,-0.16450216450216448
SPGI,0.4729984145858117,9,-0.16450216450216448
MSCI,0.4840439514221133,9,-0.16017316017316013
ZTS,0.446579634464753,9,-0.15584415584415579
FBHS,0.414213624894868,9,-0.1515151515151515
ALLE,0.4344298245614029,9,-0.1471861471861472
ARNC,0.665775401069518,9,-0.1471861471861472
EQIX,0.3925460384944206,9,-0.14718614718614714
AAPL,0.8536892038635202,9,-0.14718614718614714
CHTR,0.4159501413814979,9,-0.14285714285714285
CDW,0.42212380048508114,9,-0.13852813852813856
CMG,0.4376338636103543,9,-0.13852813852813856
KMX,0.5977291159772917,9,-0.13419913419913426
SNPS,0.4578932067060735,9,-0.1298701298701299
LMT,0.40188063463340296,9,-0.1298701298701299
SWKS,0.43803366674798516,9,-0.1298701298701299
ANSS,0.5240081216045649,9,-0.12987012987012986
PHM,0.7206432311144351,9,-0.12554112554112556
TTWO,0.4256114130434814,9,-0.1255411255411255
ATVI,0.40989729225023397,9,-0.12121212121212122
KLAC,0.4831577129037812,9,-0.12121212121212116
CAG,0.4273430782459158,9,-0.11688311688311692
TDG,0.49591822734445157,9,-0.10822510822510828
ETR,0.40000000000000235,9,-0.10389610389610393
LRCX,0.6872418670438496,9,-0.09956709956709953
AMAT,0.5513485477178399,9,-0.09523809523809523
DHI,0.566013408973697,9,-0.09090909090909088
NVDA,0.5694471077021441,9,-0.0822510822510823
AMD,1.0063344594594588,9,-0.0822510822510823
FISV,0.3895126750781348,9,-0.0735930735930736
TIF,0.39779005524861955,9,-0.06926406926406925
KSU,0.5704238386081786,9,-0.0692640692640692
LEN,0.4412077397405916,9,-0.0649350649350649
QCOM,0.6278597785977869,9,-0.06060606060606061
QRVO,0.5967375886524808,9,-0.04329004329004327
