,return,decile_rank,fip_scores_short
REGN,0.32241656255577333,9,-0.4761904761904762
AAP,-0.016929104753456214,9,-0.28571428571428575
CLX,0.022841011163864167,9,-0.28571428571428575
MSCI,0.00911978686340853,9,-0.19047619047619047
ZTS,-0.03477504890241245,9,-0.19047619047619047
NVDA,0.09869411333957112,9,-0.19047619047619047
ABBV,0.048055759354365346,9,-0.19047619047619047
TIF,-0.0036545346062053508,9,-0.1428571428571429
DE,-0.028738129228477516,9,-0.09523809523809529
CL,-0.02734993522383755,9,-0.09523809523809529
CHTR,0.0003854111728676113,9,-0.09523809523809529
AGN,0.01631043121368747,9,-0.09523809523809529
BIIB,0.11119518610600743,9,-0.09523809523809529
LH,-0.018710902591599465,9,-0.09523809523809529
SBAC,0.04473082683061391,9,-0.09523809523809529
AMT,-0.03571428571428581,9,-0.09523809523809529
TMUS,0.11391153941190968,9,0.0
INCY,0.031036368608148734,9,0.0
GILD,0.08324223020459187,9,0.0
EBAY,-0.011979463776383037,9,-0.0
ALB,0.013245852933894353,9,0.0
BLL,-0.03611491108071163,9,-0.0
LDOS,0.0006823942288940454,9,0.0
CAH,-0.021955338712703942,9,-0.0
CTSH,-0.024651832879781788,9,-0.0
AMAT,-0.03535269709543587,9,-0.0
IPGP,-0.02661480973080199,9,-0.0
ADBE,-0.03257274205303584,9,-0.0
AJG,-0.027045908183632728,9,-0.0
AMZN,0.006986764171317272,9,0.0
J,-0.022753730553497165,9,0.09523809523809529
KR,0.021052631578947434,9,0.09523809523809529
SJM,-0.0267435267435272,9,0.09523809523809529
ARNC,-0.036124794745484246,9,0.09523809523809529
FMC,-0.030713170223841124,9,0.09523809523809529
ANTM,-0.033096393245327316,9,0.09523809523809529
HPQ,-0.0343706456107753,9,0.09523809523809529
PM,-0.029171113482746258,9,0.09523809523809529
JKHY,-0.008688835173450093,9,0.09523809523809529
AEE,-0.03540903540903628,9,0.09523809523809529
RMD,-0.03916827852997984,9,0.09523809523809529
TWTR,-0.0006020469596625944,9,0.09523809523809529
NFLX,0.06122390291597157,9,0.09523809523809529
KEYS,-0.005561968727043509,9,0.19047619047619047
TJX,-0.011570247933884725,9,0.19047619047619047
ADI,-0.02954525229153715,9,0.19047619047619047
VRTX,-0.0272675958490729,9,0.19047619047619047
COG,-0.02655485674353697,9,0.19047619047619047
ROL,-0.020408163265306367,9,0.23809523809523808
NEM,-0.007560595952857407,9,0.28571428571428575
