date,ABBV,ADBE,AAP,ALB,AGN,AMZN,AEE,AMT,ADI,ANTM,AMAT,ARNC,AJG,BLL,BIIB,COG,CAH,CHTR,CLX,CTSH,CL,DE,EBAY,FMC,GILD,HPQ,INCY,IPGP,JKHY,J,SJM,KEYS,KR,LH,LDOS,MSCI,NFLX,NEM,NVDA,PM,REGN,RMD,ROL,SBAC,TMUS,TIF,TJX,TWTR,VRTX,ZTS
2015-04-06 00:00:00+00:00,57.61,76.23,145.73,55.0,297.84,377.04,42.44,98.04,62.78,155.43,22.16,,47.13,72.14,413.42,30.49,89.93,193.19,111.37,62.42,69.95,88.48,56.82,57.17,97.79,31.83,88.46,92.48,70.09,45.25,117.24,36.73,76.97,125.83,42.33,62.12,422.31,22.58,21.665,78.2,440.23,73.89,25.22,120.59,33.08,88.46,69.3,50.84,118.25,46.33
2015-04-07 00:00:00+00:00,58.42,75.65,146.71,55.25,295.56,374.41,41.8,96.87,63.24,155.19,21.985,,46.83,71.31,418.09,30.79,89.94,189.75,110.63,62.045,69.71,88.44,57.08,57.26,98.69,31.42,89.39,93.66,69.33,44.95,115.87,36.38,76.36,124.56,42.43,61.28,423.46,22.17,21.86,77.74,441.65,72.41,25.0,119.61,32.98,88.02,68.65,52.87,120.47,46.36
2015-04-08 00:00:00+00:00,58.81,75.44,148.81,55.88,294.78,381.2,41.72,96.53,63.67,154.64,22.38,,47.34,72.57,425.36,30.67,90.19,190.775,110.5,62.54,69.9,87.85,57.11,57.31,99.87,31.52,91.63,94.24,69.07,45.25,115.55,36.49,76.9,125.6,42.45,61.83,441.35,22.08,22.02,77.24,453.19,72.94,25.16,118.05,32.77,89.41,69.33,52.3,123.79,46.21
2015-04-09 00:00:00+00:00,60.32,76.33,148.05,59.01,292.27,383.54,41.65,95.34,64.03,153.49,22.51,,47.37,72.1,426.63,31.58,89.89,190.93,110.89,63.16,69.96,88.45,57.01,57.36,101.16,31.55,92.28,96.03,68.42,45.9,116.14,37.18,76.81,126.07,42.69,60.75,439.5,22.23,22.525,77.86,455.04,73.84,25.19,118.485,32.38,89.28,68.63,52.17,125.64,46.55
2015-04-10 00:00:00+00:00,62.0,76.53,150.2,58.75,294.79,382.65,42.12,95.07,64.235,153.92,22.5,,47.65,72.42,425.65,31.0,90.52,191.81,110.67,62.8,69.61,89.07,57.34,58.38,101.77,32.11,93.81,98.52,68.03,46.6,116.75,37.05,77.07,126.07,42.61,60.6,454.57,22.33,22.76,77.9,461.39,74.82,25.02,117.67,32.06,89.45,68.53,51.94,128.47,47.17
2015-04-13 00:00:00+00:00,61.2,76.02,149.18,58.38,294.06,382.36,41.57,94.78,63.75,153.51,22.33,,47.71,72.56,423.36,30.75,89.62,189.02,110.75,61.73,69.31,88.0,56.94,58.71,102.28,32.7,99.83,99.255,68.15,46.42,116.9,36.59,76.33,125.18,41.95,60.32,474.68,22.57,22.55,77.39,456.98,74.78,24.88,118.71,31.49,89.08,68.14,51.62,127.81,46.66
2015-04-14 00:00:00+00:00,61.72,75.95,149.05,58.97,298.16,385.11,41.79,94.5,62.57,154.25,22.195,,47.94,72.91,423.57,31.5,90.3,190.89,110.99,62.62,69.63,87.92,56.95,58.52,102.21,32.52,98.97,96.74,68.41,46.8,117.79,36.15,75.22,124.47,41.92,61.07,478.71,22.82,22.36,78.11,455.07,73.79,24.8,119.08,31.87,87.4,67.28,51.2,128.73,46.9
2015-04-15 00:00:00+00:00,62.03,76.03,149.58,59.31,298.92,383.45,41.75,95.17,63.925,151.3,22.55,,47.78,72.52,430.96,32.78,90.15,189.91,110.48,63.11,69.88,89.34,57.015,59.67,104.03,33.04,100.29,99.25,67.62,48.21,118.08,36.19,73.91,125.4,41.85,61.0,475.46,23.55,22.63,78.13,453.89,73.03,24.73,119.58,32.01,87.42,66.74,51.3,129.2,47.0
2015-04-16 00:00:00+00:00,62.59,75.15,150.0,58.74,296.45,386.04,41.32,96.76,64.105,154.93,21.88,,47.98,71.75,428.65,33.03,89.66,190.36,110.36,62.45,70.08,88.94,57.035,59.18,103.34,32.81,102.76,97.98,67.33,47.76,117.98,36.07,73.37,125.49,42.01,61.2,562.05,23.62,22.49,84.96,457.42,72.25,24.61,120.42,32.06,85.74,66.48,52.03,128.94,47.14
2015-04-17 00:00:00+00:00,62.29,73.15,149.8,59.05,297.05,375.56,41.13,96.1,63.42,152.48,21.49,,47.66,71.8,419.44,32.87,89.55,186.74,109.26,60.7,69.28,87.51,55.79,58.02,101.38,32.53,101.66,94.99,66.69,47.46,117.42,35.36,71.84,124.41,40.93,60.89,571.55,23.57,22.2,85.26,447.52,71.88,24.36,119.75,32.09,84.59,65.25,50.66,125.07,46.77
2015-04-20 00:00:00+00:00,63.54,73.92,152.4,59.19,295.37,389.51,41.65,95.84,63.72,152.87,21.76,,47.91,72.11,422.92,32.9,90.14,183.88,108.47,61.135,68.46,88.9,56.07,58.1,100.655,33.41,105.51,96.615,67.1,47.39,117.08,36.13,71.28,125.35,41.65,60.94,567.39,23.52,22.09,84.98,452.42,72.92,24.62,121.84,32.69,84.87,65.97,51.4,125.55,47.04
2015-04-21 00:00:00+00:00,63.61,74.62,152.4,58.75,294.53,391.18,41.55,94.98,64.37,152.88,22.29,,47.66,72.06,422.11,32.76,90.35,186.81,108.97,61.41,69.01,87.92,56.415,57.95,105.2,33.21,109.185,96.14,67.7,47.12,117.44,36.21,71.83,125.91,41.75,60.87,560.44,23.51,22.055,84.05,463.22,73.11,24.73,121.94,33.35,84.15,66.29,51.32,132.2,47.54
2015-04-22 00:00:00+00:00,64.52,75.5,151.51,58.94,295.22,389.8,41.68,95.92,64.49,152.84,22.31,,47.71,71.98,423.57,32.75,91.5,184.885,108.89,61.21,69.28,88.1,56.75,58.11,104.18,33.51,107.98,97.6,68.03,46.95,117.94,36.01,70.39,126.26,41.84,61.6,557.68,22.77,22.31,83.69,472.63,73.28,25.18,122.7,34.09,85.1,66.41,51.73,132.85,47.03
2015-04-23 00:00:00+00:00,64.25,76.52,146.69,58.95,298.36,389.99,41.91,96.04,63.59,154.2,22.17,,47.76,72.47,430.28,32.98,91.5,183.58,109.1,61.2,69.22,88.59,58.89,58.6,105.205,33.38,107.85,96.54,68.14,47.16,116.97,35.44,70.93,126.38,42.06,62.25,559.06,23.45,22.22,83.55,480.08,73.38,25.55,124.38,34.44,86.51,66.33,51.41,135.82,47.05
2015-04-24 00:00:00+00:00,66.07,76.54,148.61,59.0,295.41,445.1,42.32,95.32,62.53,154.28,21.8,,49.06,74.56,401.71,33.03,91.38,185.75,109.24,59.73,69.17,88.39,59.2,58.57,103.695,33.26,107.34,94.5,67.45,46.31,116.31,34.99,71.7,126.93,42.15,62.74,558.395,24.98,22.03,82.75,480.09,65.7,25.32,121.18,34.31,87.12,66.29,50.82,133.2,47.91
2015-04-27 00:00:00+00:00,65.02,76.55,144.99,58.52,285.19,438.56,41.92,95.19,62.67,151.02,19.97,,48.53,74.61,389.27,32.72,89.53,182.96,108.3,59.51,68.98,88.93,59.09,58.85,102.94,33.07,101.38,94.54,67.25,46.66,118.2,34.34,70.55,125.61,42.1,62.96,566.08,25.59,22.2,82.09,473.48,64.55,25.11,119.28,34.06,85.97,65.31,51.66,127.88,46.83
2015-04-28 00:00:00+00:00,66.49,76.02,144.5,59.45,288.1,429.31,42.3,95.76,63.22,154.22,20.04,,48.67,74.44,374.68,33.58,90.48,182.3,108.32,60.325,68.77,88.89,59.48,59.1,103.72,33.24,99.6,92.815,67.95,44.0,116.19,33.94,69.42,123.46,42.6,62.93,563.06,26.35,22.305,82.88,466.34,64.68,25.19,118.04,33.97,86.42,64.92,42.27,125.47,45.73
2015-04-29 00:00:00+00:00,65.63,76.65,144.66,60.25,288.23,429.37,41.84,93.51,62.82,151.07,20.01,,48.55,73.84,383.78,33.67,88.9,188.3,107.11,59.92,68.51,89.87,58.88,59.93,102.32,33.32,101.67,92.49,67.46,44.15,116.02,33.78,68.79,120.65,42.02,62.6,562.85,26.48,22.14,82.73,469.7,64.09,24.78,116.79,34.62,86.94,64.23,38.49,123.76,45.22
2015-04-30 00:00:00+00:00,64.66,76.06,143.0,59.7,282.86,421.78,40.94,94.53,61.84,150.93,19.79,,47.83,73.41,373.93,33.82,84.34,187.06,106.1,58.54,67.28,90.52,58.26,59.31,100.51,32.97,97.16,88.58,66.51,42.86,115.92,33.46,68.91,119.56,41.64,61.19,556.5,26.49,22.195,83.47,457.46,63.94,24.8,115.82,34.04,87.48,64.54,38.96,123.28,44.42
2015-05-01 00:00:00+00:00,64.32,76.43,145.34,60.44,289.74,422.87,41.2,93.48,63.27,153.23,19.98,,47.92,74.44,386.22,33.93,85.55,187.435,106.19,59.14,67.68,91.39,59.295,60.23,105.01,33.8,98.28,90.62,66.96,42.75,116.86,33.61,70.13,119.77,41.89,62.35,557.03,26.49,22.75,83.39,471.16,64.78,24.79,116.19,33.85,89.17,65.55,37.84,125.6,44.61
2015-05-04 00:00:00+00:00,64.68,75.85,145.45,60.12,289.81,423.04,41.59,94.64,63.25,155.84,19.88,,47.71,74.91,386.22,34.33,85.63,187.49,106.51,62.78,67.86,90.89,59.11,60.37,105.66,33.65,101.0,92.44,67.2,42.89,118.37,34.48,70.01,119.19,42.2,62.42,554.9,26.05,22.61,83.21,474.17,65.65,24.82,116.33,34.15,88.8,65.54,37.88,126.3,45.4
2015-05-05 00:00:00+00:00,63.86,75.0,143.99,60.0,285.75,421.19,40.59,93.0,61.765,154.2,19.36,,47.19,73.0,385.8,33.96,84.57,185.7,105.73,61.0,67.38,90.14,57.935,59.34,102.99,33.16,97.5,91.37,66.28,42.8,116.28,34.0,68.21,117.3,41.46,62.04,565.55,25.95,22.03,82.81,465.5,64.61,24.57,114.24,33.8,88.81,65.63,37.42,122.15,45.68
2015-05-06 00:00:00+00:00,63.94,74.48,144.09,60.0,283.31,419.1,40.37,92.86,61.64,159.85,19.445,,47.5,72.21,383.56,34.12,84.76,183.91,106.48,60.62,67.79,89.97,57.49,59.5,102.27,32.5,100.54,91.89,67.09,42.95,116.25,33.65,69.8,117.21,41.31,61.46,560.54,25.65,22.1,83.87,470.01,64.83,24.42,114.54,33.3,86.98,65.84,37.26,122.93,45.29
2015-05-07 00:00:00+00:00,64.7,74.73,144.53,62.83,287.3,426.88,40.4,93.63,62.04,155.8,19.56,,47.74,71.65,383.29,34.25,84.99,182.96,107.1,61.31,67.88,89.63,57.96,59.45,101.79,32.82,102.08,92.95,66.0,43.29,115.77,33.91,70.65,118.39,42.19,61.6,565.24,25.82,22.49,84.01,468.62,65.17,24.33,113.885,33.3,87.98,66.19,37.71,125.05,45.56
2015-05-08 00:00:00+00:00,65.24,76.31,144.76,63.16,292.82,433.69,40.39,94.95,62.72,158.4,19.69,,47.86,72.3,398.43,35.06,86.65,180.67,107.59,63.09,68.2,89.89,58.82,60.95,103.85,33.41,103.83,94.17,65.08,43.75,115.99,34.58,71.79,118.4,42.71,62.1,574.6,26.04,20.825,85.19,481.29,65.62,24.35,115.95,33.77,88.65,67.32,37.59,127.41,45.9
