date,GPN,INFO,MKTX,SO,WU
2015-04-06 00:00:00+00:00,92.59,27.2,85.43,44.92,20.24
2015-04-07 00:00:00+00:00,92.23,27.15,86.01,44.26,20.08
2015-04-08 00:00:00+00:00,98.61,27.13,87.5,44.34,20.57
2015-04-09 00:00:00+00:00,98.63,27.05,87.27,44.47,20.62
2015-04-10 00:00:00+00:00,99.68,26.96,88.07,44.62,20.62
2015-04-13 00:00:00+00:00,98.1,27.11,88.15,44.2,20.5
2015-04-14 00:00:00+00:00,98.65,26.79,89.3,44.35,20.65
2015-04-15 00:00:00+00:00,100.06,26.64,88.57,44.2,20.79
2015-04-16 00:00:00+00:00,99.71,26.48,89.79,44.11,20.74
2015-04-17 00:00:00+00:00,99.75,26.03,87.31,44.11,20.63
2015-04-20 00:00:00+00:00,100.29,25.9,88.72,44.76,20.73
2015-04-21 00:00:00+00:00,101.63,25.78,90.01,44.42,20.7
2015-04-22 00:00:00+00:00,101.87,25.82,88.66,44.48,20.8
2015-04-23 00:00:00+00:00,101.71,25.99,88.7,44.69,20.97
2015-04-24 00:00:00+00:00,101.79,25.94,87.93,44.87,20.59
2015-04-27 00:00:00+00:00,101.36,25.8,87.84,44.32,20.37
2015-04-28 00:00:00+00:00,100.98,25.76,89.84,44.66,20.47
2015-04-29 00:00:00+00:00,101.9,25.86,89.06,44.65,20.39
2015-04-30 00:00:00+00:00,100.28,25.65,85.85,44.3,20.28
2015-05-01 00:00:00+00:00,101.07,26.36,84.96,44.82,21.25
2015-05-04 00:00:00+00:00,100.92,26.19,84.98,44.98,21.18
2015-05-05 00:00:00+00:00,101.07,25.91,83.3,44.27,20.95
2015-05-06 00:00:00+00:00,101.29,25.72,83.9,44.08,21.85
2015-05-07 00:00:00+00:00,101.36,25.62,85.02,44.23,21.7
2015-05-08 00:00:00+00:00,101.88,25.72,84.67,44.15,21.93
2015-05-11 00:00:00+00:00,102.17,25.93,86.07,43.59,21.76
2015-05-12 00:00:00+00:00,101.48,26.05,86.02,43.47,21.75
2015-05-13 00:00:00+00:00,102.73,26.06,86.07,43.38,21.87
2015-05-14 00:00:00+00:00,104.56,26.36,87.27,43.18,21.96
2015-05-15 00:00:00+00:00,104.2,26.33,87.49,43.72,21.71
2015-05-18 00:00:00+00:00,105.24,26.16,89.1,43.65,21.99
2015-05-19 00:00:00+00:00,105.38,26.34,88.68,43.67,22.42
2015-05-20 00:00:00+00:00,104.17,26.27,88.36,43.67,22.48
2015-05-21 00:00:00+00:00,105.4,26.18,88.0,43.38,22.5
2015-05-22 00:00:00+00:00,105.1,26.35,87.72,43.23,22.56
2015-05-26 00:00:00+00:00,104.35,26.13,86.56,43.3,22.24
2015-05-27 00:00:00+00:00,104.4,26.39,89.23,43.73,22.19
2015-05-28 00:00:00+00:00,104.44,26.59,89.02,43.51,21.94
2015-05-29 00:00:00+00:00,104.38,26.81,88.45,43.69,21.95
2015-06-01 00:00:00+00:00,104.74,26.75,88.96,43.67,21.95
2015-06-02 00:00:00+00:00,105.72,26.81,88.49,43.28,22.12
2015-06-03 00:00:00+00:00,106.67,26.8,87.89,43.12,22.23
2015-06-04 00:00:00+00:00,104.84,26.25,86.49,43.18,21.89
2015-06-05 00:00:00+00:00,105.67,26.51,86.65,42.66,21.76
2015-06-08 00:00:00+00:00,104.35,26.63,86.28,42.6,21.52
2015-06-09 00:00:00+00:00,104.96,26.51,85.39,42.44,21.57
2015-06-10 00:00:00+00:00,106.21,26.63,86.57,42.34,21.8
2015-06-11 00:00:00+00:00,105.84,26.76,86.68,42.59,21.86
2015-06-12 00:00:00+00:00,105.12,26.88,86.31,42.3,21.47
2015-06-15 00:00:00+00:00,105.0,26.79,86.99,42.09,21.19
2015-06-16 00:00:00+00:00,106.13,26.81,87.3,42.48,21.29
2015-06-17 00:00:00+00:00,106.21,26.57,88.71,42.69,21.14
2015-06-18 00:00:00+00:00,107.37,26.67,89.21,43.32,21.28
2015-06-19 00:00:00+00:00,106.2,26.48,91.51,42.73,21.3
2015-06-22 00:00:00+00:00,107.19,26.69,95.27,42.51,21.47
2015-06-23 00:00:00+00:00,106.75,26.72,96.2,42.05,21.43
2015-06-24 00:00:00+00:00,105.71,26.7,97.25,41.7,21.14
2015-06-25 00:00:00+00:00,105.89,26.64,97.34,41.61,20.87
2015-06-26 00:00:00+00:00,105.32,26.35,96.86,41.89,20.61
2015-06-29 00:00:00+00:00,102.77,25.63,92.32,41.96,20.36
2015-06-30 00:00:00+00:00,103.45,25.57,92.77,41.9,20.33
2015-07-01 00:00:00+00:00,105.09,26.39,94.76,42.18,20.39
2015-07-02 00:00:00+00:00,104.57,26.51,94.49,42.89,18.99
2015-07-06 00:00:00+00:00,104.56,26.34,96.87,43.12,18.95
2015-07-07 00:00:00+00:00,105.24,26.31,97.47,44.26,19.1
2015-07-08 00:00:00+00:00,103.8,26.31,97.78,44.2,18.85
2015-07-09 00:00:00+00:00,104.51,26.29,99.62,43.27,18.91
2015-07-10 00:00:00+00:00,105.95,26.26,103.28,43.36,19.03
2015-07-13 00:00:00+00:00,106.45,26.29,101.74,43.4,19.09
2015-07-14 00:00:00+00:00,106.49,26.44,100.91,43.21,19.17
2015-07-15 00:00:00+00:00,106.4,26.27,99.88,43.37,18.96
2015-07-16 00:00:00+00:00,107.54,26.44,101.5,43.98,19.27
2015-07-17 00:00:00+00:00,106.58,26.56,101.31,43.51,19.2
2015-07-20 00:00:00+00:00,108.0,26.46,100.94,43.32,19.2
2015-07-21 00:00:00+00:00,106.84,26.27,100.22,43.21,19.1
2015-07-22 00:00:00+00:00,106.42,26.42,97.95,43.25,19.11
2015-07-23 00:00:00+00:00,105.38,26.55,97.95,42.98,18.9
2015-07-24 00:00:00+00:00,104.46,26.7,96.54,42.88,18.65
2015-07-27 00:00:00+00:00,102.17,26.17,97.95,43.44,18.36
2015-07-28 00:00:00+00:00,109.91,26.29,97.66,43.54,18.64
2015-07-29 00:00:00+00:00,111.71,26.53,98.16,43.57,19.04
2015-07-30 00:00:00+00:00,111.84,26.52,97.07,44.38,19.02
2015-07-31 00:00:00+00:00,112.09,26.62,97.8,44.73,20.24
2015-08-03 00:00:00+00:00,112.27,26.53,97.92,44.96,20.22
2015-08-04 00:00:00+00:00,112.5,26.27,96.96,44.42,20.17
2015-08-05 00:00:00+00:00,113.31,26.58,99.25,44.61,20.33
2015-08-06 00:00:00+00:00,112.52,26.63,97.93,45.06,20.37
2015-08-07 00:00:00+00:00,112.74,26.73,97.57,45.53,20.4
2015-08-10 00:00:00+00:00,114.69,27.61,97.41,45.46,20.55
2015-08-11 00:00:00+00:00,114.08,27.05,96.16,45.91,20.4
2015-08-12 00:00:00+00:00,114.58,28.36,95.37,46.57,20.42
2015-08-13 00:00:00+00:00,116.0,29.43,94.54,46.16,20.38
2015-08-14 00:00:00+00:00,116.95,29.53,96.38,46.33,20.35
2015-08-17 00:00:00+00:00,117.22,29.3,97.53,46.3,20.42
2015-08-18 00:00:00+00:00,117.62,29.3,97.49,46.07,20.38
2015-08-19 00:00:00+00:00,117.91,29.53,98.06,46.31,19.95
2015-08-20 00:00:00+00:00,116.25,29.19,96.57,46.36,19.49
2015-08-21 00:00:00+00:00,111.93,28.85,93.96,45.8,18.74
2015-08-24 00:00:00+00:00,105.9,27.91,89.61,43.58,17.79
2015-08-25 00:00:00+00:00,106.04,27.975,88.91,42.5,17.81
2015-08-26 00:00:00+00:00,109.12,28.39,90.97,43.61,18.3
2015-08-27 00:00:00+00:00,111.99,28.29,91.83,43.91,18.59
2015-08-28 00:00:00+00:00,112.47,28.48,91.45,43.74,18.56
2015-08-31 00:00:00+00:00,111.39,28.58,90.42,43.41,18.44
2015-09-01 00:00:00+00:00,108.36,28.3,91.71,42.41,17.72
2015-09-02 00:00:00+00:00,110.48,28.76,96.63,42.52,18.05
2015-09-03 00:00:00+00:00,111.0,29.02,96.2,42.58,18.47
2015-09-04 00:00:00+00:00,110.29,28.79,94.85,41.98,18.25
2015-09-08 00:00:00+00:00,113.43,28.82,96.5,42.7,18.61
2015-09-09 00:00:00+00:00,112.14,28.61,96.62,42.46,18.23
2015-09-10 00:00:00+00:00,112.93,28.43,97.14,42.3,18.41
2015-09-11 00:00:00+00:00,114.08,28.75,97.35,42.71,18.31
2015-09-14 00:00:00+00:00,112.6,28.85,96.96,42.63,18.12
2015-09-15 00:00:00+00:00,114.42,29.41,97.3,42.63,18.66
2015-09-16 00:00:00+00:00,114.51,29.26,97.5,42.91,18.94
2015-09-17 00:00:00+00:00,114.63,29.37,96.5,43.48,18.88
2015-09-18 00:00:00+00:00,113.74,29.42,96.32,43.43,18.58
2015-09-21 00:00:00+00:00,116.24,29.25,97.04,43.77,18.77
2015-09-22 00:00:00+00:00,116.06,29.24,95.92,43.01,18.5
2015-09-23 00:00:00+00:00,117.28,29.39,98.99,42.95,18.46
2015-09-24 00:00:00+00:00,115.51,28.99,97.15,43.48,18.25
2015-09-25 00:00:00+00:00,115.74,28.9,99.52,44.13,18.21
2015-09-28 00:00:00+00:00,112.0,28.5,94.7,44.09,17.85
2015-09-29 00:00:00+00:00,113.95,28.44,90.82,44.29,18.1
2015-09-30 00:00:00+00:00,114.73,29.0,92.88,44.7,18.36
2015-10-01 00:00:00+00:00,116.54,29.14,94.02,44.19,18.21
2015-10-02 00:00:00+00:00,118.45,29.55,95.01,44.69,18.55
2015-10-05 00:00:00+00:00,116.9,29.9,96.93,45.2,18.74
2015-10-06 00:00:00+00:00,115.37,29.67,93.33,44.79,18.61
2015-10-07 00:00:00+00:00,128.2,29.53,94.84,44.76,18.8
2015-10-08 00:00:00+00:00,132.45,29.68,95.5,45.15,19.2
2015-10-09 00:00:00+00:00,133.02,30.0,94.7,44.96,19.13
2015-10-12 00:00:00+00:00,133.74,30.24,96.96,45.61,19.14
2015-10-13 00:00:00+00:00,129.67,29.73,94.56,45.57,18.94
2015-10-14 00:00:00+00:00,126.92,29.79,94.24,45.52,18.71
2015-10-15 00:00:00+00:00,129.75,30.64,96.5,45.82,18.94
2015-10-16 00:00:00+00:00,130.86,30.54,96.73,46.22,19.08
2015-10-19 00:00:00+00:00,133.27,30.72,95.94,45.96,19.08
2015-10-20 00:00:00+00:00,130.84,30.42,96.1,45.97,19.03
2015-10-21 00:00:00+00:00,131.23,30.29,86.86,46.08,19.07
2015-10-22 00:00:00+00:00,133.62,30.5,89.55,46.5,19.66
2015-10-23 00:00:00+00:00,133.94,30.45,90.01,45.81,19.76
