date,EFX,GPN,INFO,MKTX,MA
2015-04-06 00:00:00+00:00,93.81,92.59,27.2,85.43,87.34
2015-04-07 00:00:00+00:00,92.63,92.23,27.15,86.01,87.92
2015-04-08 00:00:00+00:00,92.86,98.61,27.13,87.5,89.32
2015-04-09 00:00:00+00:00,92.94,98.63,27.05,87.27,89.06
2015-04-10 00:00:00+00:00,93.41,99.68,26.96,88.07,88.57
2015-04-13 00:00:00+00:00,93.5,98.1,27.11,88.15,88.25
2015-04-14 00:00:00+00:00,93.9,98.65,26.79,89.3,89.12
2015-04-15 00:00:00+00:00,93.83,100.06,26.64,88.57,89.25
2015-04-16 00:00:00+00:00,93.33,99.71,26.48,89.79,88.72
2015-04-17 00:00:00+00:00,91.84,99.75,26.03,87.31,86.93
2015-04-20 00:00:00+00:00,93.34,100.29,25.9,88.72,87.33
2015-04-21 00:00:00+00:00,94.48,101.63,25.78,90.01,87.77
2015-04-22 00:00:00+00:00,94.19,101.87,25.82,88.66,91.2
2015-04-23 00:00:00+00:00,98.4,101.71,25.99,88.7,90.88
2015-04-24 00:00:00+00:00,98.49,101.79,25.94,87.93,90.72
2015-04-27 00:00:00+00:00,98.06,101.36,25.8,87.84,89.75
2015-04-28 00:00:00+00:00,97.71,100.98,25.76,89.84,90.23
2015-04-29 00:00:00+00:00,97.41,101.9,25.86,89.06,90.25
2015-04-30 00:00:00+00:00,96.93,100.28,25.65,85.85,90.21
2015-05-01 00:00:00+00:00,98.27,101.07,26.36,84.96,91.25
2015-05-04 00:00:00+00:00,99.78,100.92,26.19,84.98,91.18
2015-05-05 00:00:00+00:00,98.53,101.07,25.91,83.3,90.78
2015-05-06 00:00:00+00:00,98.54,101.29,25.72,83.9,90.57
2015-05-07 00:00:00+00:00,97.94,101.36,25.62,85.02,92.05
2015-05-08 00:00:00+00:00,98.89,101.88,25.72,84.67,93.51
2015-05-11 00:00:00+00:00,99.4,102.17,25.93,86.07,92.52
2015-05-12 00:00:00+00:00,98.39,101.48,26.05,86.02,92.39
2015-05-13 00:00:00+00:00,98.22,102.73,26.06,86.07,92.52
2015-05-14 00:00:00+00:00,99.61,104.56,26.36,87.27,93.84
2015-05-15 00:00:00+00:00,98.9,104.2,26.33,87.49,93.22
2015-05-18 00:00:00+00:00,100.35,105.24,26.16,89.1,93.08
2015-05-19 00:00:00+00:00,100.22,105.38,26.34,88.68,93.8
2015-05-20 00:00:00+00:00,99.61,104.17,26.27,88.36,93.24
2015-05-21 00:00:00+00:00,100.05,105.4,26.18,88.0,92.9
2015-05-22 00:00:00+00:00,100.27,105.1,26.35,87.72,92.69
2015-05-26 00:00:00+00:00,99.02,104.35,26.13,86.56,91.89
2015-05-27 00:00:00+00:00,100.38,104.4,26.39,89.23,92.59
2015-05-28 00:00:00+00:00,100.29,104.44,26.59,89.02,92.82
2015-05-29 00:00:00+00:00,100.33,104.38,26.81,88.45,92.26
2015-06-01 00:00:00+00:00,100.04,104.74,26.75,88.96,92.56
2015-06-02 00:00:00+00:00,98.25,105.72,26.81,88.49,93.17
