date,AAP,ICE,K,REGN,XLNX,portfolio_value,port_val_chg_1_days,port_val_chg_5_days,port_val_chg_5_days_bin
2015-04-13 00:00:00+00:00,149.18,230.79,65.46,456.98,43.725,1172.1657496164898,-0.005557292470221409,0.01479830282828587,1
2015-04-14 00:00:00+00:00,149.05,228.88,65.58,455.07,43.135,1166.1407729809637,-0.005140038119606727,0.007025849945126117,1
2015-04-15 00:00:00+00:00,149.58,229.79,65.17,453.89,43.895,1169.0171604651734,0.0024665868399893487,0.0017222593916059736,1
2015-04-16 00:00:00+00:00,150.0,229.88,65.05,457.42,44.325,1171.8932804499134,0.0024602889350191504,0.0023826307701384497,1
2015-04-17 00:00:00+00:00,149.8,223.67,64.39,447.52,43.585,1151.0305362240726,-0.01780259736435308,-0.023487997950271122,0
2015-04-20 00:00:00+00:00,152.4,225.67,64.56,452.42,43.76,1161.7188848752157,0.009285894956536866,-0.008912446678033481,0
2015-04-21 00:00:00+00:00,152.4,224.12,63.86,463.22,44.23,1161.7993251253574,6.924243996464519e-05,-0.0037229191845409293,0
2015-04-22 00:00:00+00:00,151.51,225.61,63.98,472.63,44.37,1168.005515345209,0.005341877969486708,-0.0008653808978833499,0
2015-04-23 00:00:00+00:00,146.69,225.19,63.85,480.08,43.76,1161.295661710718,-0.005744710573997502,-0.009043160256987592,0
2015-04-24 00:00:00+00:00,148.61,223.39,63.73,480.09,42.885,1157.7242060336705,-0.003075406026908145,0.005815371181685736,1
2015-04-27 00:00:00+00:00,144.99,222.75,63.61,473.48,43.25,1149.2583511409705,-0.007312497094367432,-0.010725945748556565,0
2015-04-28 00:00:00+00:00,144.5,224.29,63.67,466.34,43.33,1149.3720940946052,9.897074362941183e-05,-0.010696538345304374,0
2015-04-29 00:00:00+00:00,144.66,224.76,63.38,469.7,43.34,1151.051158833952,0.0014608539288309963,-0.014515647647644903,0
2015-04-30 00:00:00+00:00,143.0,224.53,63.33,457.46,43.36,1143.3664279003874,-0.006676272270425887,-0.01543899146572092,0
2015-05-01 00:00:00+00:00,145.34,225.82,63.89,471.16,43.975,1157.8849312117068,0.012698031844419644,0.00013882855450253473,1
2015-05-04 00:00:00+00:00,145.45,226.59,64.13,474.17,44.255,1162.2242185667735,0.0037475980886336746,0.011281943187909649,1
2015-05-05 00:00:00+00:00,143.99,232.17,63.18,465.5,43.545,1163.8168353766825,0.0013703180371451573,0.012567506516204308,1
2015-05-06 00:00:00+00:00,144.09,227.26,63.01,470.01,43.17,1154.049836906597,-0.008392212737603488,0.0026051648961307183,1
2015-05-07 00:00:00+00:00,144.53,233.09,63.56,468.62,43.425,1168.5319631375353,0.012548960857494018,0.02201003512352595,1
2015-05-08 00:00:00+00:00,144.76,238.24,63.61,481.29,44.2,1186.5922681062727,0.015455550672525131,0.024792910004040047,1
2015-05-11 00:00:00+00:00,145.51,240.0,63.78,477.56,43.88,1189.568232557797,0.0025079924515889473,0.023527313881605005,1
2015-05-12 00:00:00+00:00,147.13,239.94,63.67,479.4,43.615,1191.4626105143889,0.0015924920527834452,0.023754403869538754,1
2015-05-13 00:00:00+00:00,149.38,240.08,63.73,477.46,43.73,1194.6489730647995,0.0026743286128256827,0.03517970789461544,1
2015-05-14 00:00:00+00:00,149.86,240.51,64.58,491.43,44.99,1207.322256639266,0.01060837439298501,0.03319574879028364,1
