date,ATVI,AMD,ALLE,ANSS,AAPL,AMAT,ARNC,KMX,CDW,CHTR,CMG,CAG,CPRT,COST,DHI,DVA,ETR,EFX,EQIX,FISV,FBHS,GPN,INFO,KSU,KLAC,LRCX,LDOS,LEN,LMT,MKTX,MA,MSFT,MCO,MSCI,NEE,NVDA,NVR,PHM,QRVO,QCOM,RMD,SPGI,SWKS,SO,SNPS,TTWO,TIF,TDG,WU,ZTS
2015-04-06 00:00:00+00:00,22.67,2.7,61.65,89.3,127.35,22.16,,73.95,36.92,193.19,660.02,38.04,38.12,152.5,28.71,81.47,79.41,93.81,235.15,79.83,46.79,92.59,27.2,104.7,58.14,72.35,42.33,52.06,200.53,85.43,87.34,41.545,104.91,62.12,105.54,21.665,1359.24,22.67,76.51,67.76,73.89,104.51,95.47,44.92,46.87,24.875,88.46,219.74,20.24,46.33
2015-04-07 00:00:00+00:00,22.77,2.7,61.57,88.875,126.01,21.985,,73.42,37.18,189.75,658.46,37.96,37.82,151.78,28.03,81.86,78.11,92.63,234.29,79.32,46.28,92.23,27.15,104.97,57.76,71.17,42.43,50.74,200.15,86.01,87.92,41.53,104.58,61.28,104.29,21.86,1333.99,22.17,73.23,67.315,72.41,103.78,96.78,44.26,47.01,25.14,88.02,220.83,20.08,46.36
2015-04-08 00:00:00+00:00,22.96,2.71,61.69,88.66,125.6,22.38,,74.07,37.95,190.775,654.55,37.92,38.08,152.0,28.54,81.74,77.96,92.86,239.09,80.3,46.38,98.61,27.13,104.95,58.05,72.83,42.45,51.26,200.81,87.5,89.32,41.42,105.32,61.83,104.04,22.02,1351.11,22.47,72.84,67.26,72.94,104.45,97.47,44.34,47.58,25.42,89.41,220.61,20.57,46.21
2015-04-09 00:00:00+00:00,23.0,2.72,61.44,88.28,126.56,22.51,,74.11,38.37,190.93,651.72,37.89,37.87,148.81,28.48,81.52,77.01,92.94,240.06,80.01,45.99,98.63,27.05,106.03,58.94,73.155,42.69,50.49,201.44,87.27,89.06,41.48,105.85,60.75,104.01,22.525,1346.41,22.31,74.63,68.81,73.84,105.25,99.84,44.47,47.65,24.82,89.28,221.95,20.62,46.55
2015-04-10 00:00:00+00:00,22.925,2.76,61.24,88.56,127.1,22.5,,73.19,38.42,191.81,683.02,37.85,37.86,149.635,28.61,81.9,78.09,93.41,239.65,79.055,46.14,99.68,26.96,106.33,59.12,73.1,42.61,50.5,200.4,88.07,88.57,41.72,105.73,60.6,104.9,22.76,1344.84,22.32,73.58,69.16,74.82,105.11,99.64,44.62,47.8,25.27,89.45,223.2,20.62,47.17
2015-04-13 00:00:00+00:00,22.79,2.78,60.28,87.53,126.85,22.33,,73.01,38.47,189.02,683.73,37.6,37.68,149.02,28.38,81.76,77.28,93.5,239.77,78.95,45.92,98.1,27.11,105.54,59.0,72.7,41.95,50.41,197.05,88.15,88.25,41.76,105.42,60.32,103.75,22.55,1330.02,22.23,72.63,68.73,74.78,105.4,98.58,44.2,47.47,24.74,89.08,222.82,20.5,46.66
2015-04-14 00:00:00+00:00,22.92,2.67,59.97,86.95,126.3,22.195,,72.46,38.03,190.89,677.85,37.79,37.6,149.52,28.74,82.01,77.78,93.9,241.49,78.61,46.11,98.65,26.79,105.6,59.36,72.0,41.92,50.97,197.34,89.3,89.12,41.65,104.91,61.07,104.36,22.36,1334.68,22.54,70.5,68.97,73.79,103.82,95.64,44.35,47.41,24.93,87.4,222.3,20.65,46.9
2015-04-15 00:00:00+00:00,22.9,2.7,60.49,87.4,126.78,22.55,,72.4,38.46,189.91,677.6,37.57,37.81,149.07,29.04,81.61,77.81,93.83,241.19,78.88,45.89,100.06,26.64,105.96,60.04,72.42,41.85,51.44,197.21,88.57,89.25,42.255,105.69,61.0,104.18,22.63,1342.46,22.78,70.91,68.46,73.03,103.62,96.23,44.2,47.41,25.03,87.42,222.33,20.79,47.0
2015-04-16 00:00:00+00:00,23.185,2.87,60.16,87.78,126.17,21.88,,71.68,38.19,190.36,681.55,37.38,37.58,147.11,28.46,82.13,77.36,93.33,241.56,78.65,45.13,99.71,26.48,105.13,59.33,71.79,42.01,50.15,197.12,89.79,88.72,42.16,105.22,61.2,103.76,22.49,1332.73,22.34,71.46,67.91,72.25,103.11,95.68,44.11,47.35,25.03,85.74,222.08,20.74,47.14
2015-04-17 00:00:00+00:00,22.805,2.575,59.1,86.33,124.75,21.49,,70.61,37.83,186.74,683.95,37.3,37.0,144.57,28.27,81.26,77.29,91.84,236.14,77.43,44.86,99.75,26.03,104.49,57.995,70.66,40.93,48.58,194.82,87.31,86.93,41.615,104.4,60.89,103.15,22.2,1324.89,22.19,70.07,67.115,71.88,102.86,94.28,44.11,46.48,24.72,84.59,219.38,20.63,46.77
2015-04-20 00:00:00+00:00,23.075,2.49,59.31,86.51,127.6,21.76,,70.97,38.31,183.88,686.93,37.65,37.41,146.31,28.04,81.84,78.36,93.34,239.87,78.16,45.7,100.29,25.9,107.37,58.56,71.99,41.65,48.23,196.8,88.72,87.33,42.905,105.87,60.94,104.5,22.09,1311.38,21.9,72.01,68.64,72.92,103.59,94.93,44.76,47.0,24.75,84.87,222.48,20.73,47.04
2015-04-21 00:00:00+00:00,23.39,2.35,59.81,86.68,126.91,22.29,,70.88,38.72,186.81,692.52,37.61,37.35,147.34,28.56,83.12,78.06,94.48,243.78,78.545,46.25,101.63,25.78,105.17,59.34,77.84,41.75,49.14,196.29,90.01,87.77,42.635,105.99,60.87,103.4,22.055,1355.33,22.21,74.07,68.57,73.11,103.56,95.42,44.42,47.29,24.85,84.15,223.6,20.7,47.54
2015-04-22 00:00:00+00:00,23.49,2.28,60.36,87.02,128.62,22.31,,70.84,38.93,184.885,641.23,37.52,37.19,146.98,27.03,83.22,77.87,94.19,244.78,78.93,46.63,101.87,25.82,106.24,60.3,78.36,41.84,48.41,197.63,88.66,91.2,42.985,107.23,61.6,103.29,22.31,1338.85,21.69,74.48,68.94,73.28,104.25,96.83,44.48,47.54,25.02,85.1,221.81,20.8,47.03
2015-04-23 00:00:00+00:00,23.745,2.33,59.74,88.07,129.67,22.17,,70.72,39.02,183.58,635.6,37.51,37.34,147.3,26.15,83.41,78.57,98.4,246.925,79.745,46.41,101.71,25.99,107.0,59.85,77.08,42.06,46.72,197.2,88.7,90.88,43.34,107.76,62.25,104.28,22.22,1321.0,19.97,73.27,68.34,73.38,105.26,95.815,44.69,47.96,25.1,86.51,221.92,20.97,47.05
2015-04-24 00:00:00+00:00,23.94,2.3,60.96,87.46,130.28,21.8,,69.97,38.87,185.75,637.5,37.52,37.17,148.12,26.57,83.91,79.14,98.49,246.065,79.27,46.76,101.79,25.94,106.5,58.89,76.7,42.15,47.19,195.37,87.93,90.72,47.87,107.5,62.74,105.05,22.03,1345.1,20.12,70.12,68.24,65.7,106.23,93.385,44.87,47.61,25.08,87.12,223.03,20.59,47.91
2015-04-27 00:00:00+00:00,23.72,2.34,60.59,86.91,132.65,19.97,,68.81,38.73,182.96,643.75,37.35,36.65,146.96,26.26,83.79,78.14,98.06,244.85,79.11,45.62,101.36,25.8,106.23,59.48,76.33,42.1,46.37,193.84,87.84,89.75,48.03,107.34,62.96,103.82,22.2,1339.02,19.87,69.37,69.23,64.55,105.29,94.55,44.32,47.3,25.02,85.97,219.04,20.37,46.83
2015-04-28 00:00:00+00:00,23.47,2.31,60.81,86.69,130.56,20.04,,69.39,38.73,182.3,639.58,36.99,36.61,146.61,26.4,83.59,79.02,97.71,246.38,79.52,45.76,100.98,25.76,104.84,59.77,76.39,42.6,46.51,194.02,89.84,90.23,49.155,107.7,62.93,104.1,22.305,1356.65,19.94,67.86,69.65,64.68,105.67,94.545,44.66,47.61,24.64,86.42,217.87,20.47,45.73
2015-04-29 00:00:00+00:00,23.19,2.28,60.55,86.85,128.64,20.01,,68.76,38.59,188.3,630.07,36.41,36.27,144.46,25.94,82.64,78.4,97.41,244.8,78.82,45.85,101.9,25.86,103.16,59.26,76.38,42.02,46.21,191.29,89.06,90.25,49.06,107.45,62.6,102.7,22.14,1350.02,19.86,68.65,68.67,64.09,105.66,93.59,44.65,47.5,24.39,86.94,213.1,20.39,45.22
2015-04-30 00:00:00+00:00,22.815,2.26,61.15,85.84,125.15,19.79,,68.11,38.32,187.06,621.34,36.15,35.57,143.05,25.4,81.1,77.18,96.93,255.93,77.6,44.6,100.28,25.65,102.49,58.8,75.58,41.64,45.8,186.6,85.85,90.21,48.64,107.52,61.19,100.93,22.195,1326.49,19.3,65.91,68.0,63.94,104.3,92.25,44.3,46.88,23.7,87.48,212.13,20.28,44.42
2015-05-01 00:00:00+00:00,23.05,2.31,61.45,86.49,128.95,19.98,,69.81,38.67,187.435,634.0,36.56,35.77,145.39,25.79,82.4,77.19,98.27,258.88,78.66,44.46,101.07,26.36,103.7,60.085,77.23,41.89,46.82,189.0,84.96,91.25,48.655,107.22,62.35,101.88,22.75,1345.69,19.62,69.6,68.42,64.78,104.22,98.295,44.82,47.09,24.36,89.17,218.84,21.25,44.61
2015-05-04 00:00:00+00:00,23.19,2.31,62.25,87.49,128.7,19.88,,71.33,38.82,187.49,633.57,37.12,35.97,145.75,25.62,82.34,77.82,99.78,259.13,78.62,44.75,100.92,26.19,103.47,60.285,76.89,42.2,46.39,189.69,84.98,91.18,48.24,108.4,62.42,102.76,22.61,1339.55,19.49,68.99,69.055,65.65,105.73,99.11,44.98,47.23,24.45,88.8,220.28,21.18,45.4
2015-05-05 00:00:00+00:00,22.71,2.28,61.5,87.24,125.8,19.36,,70.3,38.87,185.7,625.67,37.01,35.16,144.5,25.18,81.51,75.55,98.53,257.18,77.48,44.63,101.07,25.91,102.0,58.49,75.6,41.46,45.32,187.35,83.3,90.78,47.6,108.24,62.04,100.15,22.03,1321.0,19.46,67.07,68.37,64.61,104.93,94.63,44.27,46.62,24.07,88.81,214.93,20.95,45.68
2015-05-06 00:00:00+00:00,23.2,2.29,61.28,84.32,125.01,19.445,,69.97,38.64,183.91,627.23,37.2,35.05,144.77,25.27,81.41,75.78,98.54,258.28,78.89,44.07,101.29,25.72,102.26,58.26,75.2,41.31,45.29,186.83,83.9,90.57,46.28,106.63,61.46,100.03,22.1,1330.77,19.41,69.06,67.81,64.83,103.98,94.57,44.08,46.82,24.12,86.98,220.12,21.85,45.29
2015-05-07 00:00:00+00:00,24.41,2.32,61.49,86.22,125.26,19.56,,70.84,36.97,182.96,628.82,37.36,35.11,144.56,25.72,81.76,76.47,97.94,262.0,79.2,44.5,101.36,25.62,101.58,58.86,75.45,42.19,46.47,188.21,85.02,92.05,46.7,107.01,61.6,100.6,22.49,1333.28,19.7,75.56,68.43,65.17,104.94,97.07,44.23,47.12,24.33,87.98,222.07,21.7,45.56
2015-05-08 00:00:00+00:00,25.045,2.31,62.38,86.69,127.62,19.69,,71.53,36.7,180.67,633.82,37.51,35.13,145.88,25.92,82.17,76.4,98.89,267.93,80.14,44.59,101.88,25.72,102.16,59.8,77.02,42.71,47.49,190.48,84.67,93.51,47.75,107.88,62.1,101.21,20.825,1323.97,19.79,76.56,69.41,65.62,106.63,97.71,44.15,47.98,25.06,88.65,221.86,21.93,45.9
2015-05-11 00:00:00+00:00,24.64,2.32,63.18,86.38,126.32,19.92,,71.35,36.71,178.78,635.67,37.37,35.12,144.27,25.44,81.59,76.09,99.4,263.42,80.21,44.51,102.17,25.93,100.83,59.61,78.11,42.88,46.7,190.47,86.07,92.52,47.37,106.7,61.83,100.01,20.63,1307.05,19.52,74.56,69.05,65.6,107.57,97.16,43.59,48.24,25.105,87.47,222.45,21.76,46.09
2015-05-12 00:00:00+00:00,24.61,2.35,61.78,86.905,125.865,19.89,,71.27,36.93,177.34,635.55,37.68,35.23,144.07,25.44,80.92,74.23,98.39,259.3,79.98,44.08,101.48,26.05,98.64,58.73,76.8,39.63,46.69,190.61,86.02,92.39,47.35,106.49,61.36,99.91,20.83,1306.88,19.53,74.75,68.785,65.37,106.08,96.79,43.47,47.88,24.91,88.02,223.45,21.75,45.58
2015-05-13 00:00:00+00:00,24.63,2.37,61.74,88.2,126.01,19.93,,71.11,36.99,177.41,635.32,37.46,35.03,143.24,25.28,80.98,73.76,98.22,259.68,80.19,44.93,102.73,26.06,97.11,58.88,77.24,40.49,46.63,191.0,86.07,92.52,47.625,107.2,61.83,100.2,20.95,1318.29,19.43,74.96,69.73,55.48,104.97,96.65,43.38,48.23,24.755,86.93,224.53,21.87,45.62
2015-05-14 00:00:00+00:00,25.17,2.33,61.87,90.48,128.95,19.86,,71.72,37.37,176.79,634.53,37.93,35.42,142.6,25.79,81.86,74.23,99.61,261.41,80.88,45.23,104.56,26.36,94.89,59.35,78.245,40.99,47.28,193.05,87.27,93.84,48.72,108.73,62.56,101.08,21.29,1335.23,19.58,76.98,70.52,56.46,105.8,98.48,43.18,48.72,24.77,85.54,229.22,21.96,46.28
2015-05-15 00:00:00+00:00,25.42,2.32,61.79,89.7,128.77,20.2,,72.26,37.58,181.2,632.37,38.49,35.31,144.83,26.31,81.48,74.98,98.9,260.4,80.98,45.22,104.2,26.33,95.27,59.91,78.73,41.38,47.6,192.36,87.49,93.22,48.295,109.98,62.48,102.14,21.3,1335.24,19.89,76.54,71.06,56.2,105.7,97.56,43.72,48.61,24.69,86.52,227.55,21.71,46.49
2015-05-18 00:00:00+00:00,25.42,2.35,61.89,90.32,130.19,20.19,,73.0,37.54,181.05,636.1,38.52,35.67,145.06,26.46,82.7,75.28,100.35,262.29,81.46,45.32,105.24,26.16,94.65,59.73,79.46,42.31,48.44,193.08,89.1,93.08,48.01,109.45,63.54,102.3,21.27,1347.8,19.9,80.3,70.42,56.81,107.22,103.03,43.65,48.96,24.2,86.64,226.74,21.99,46.73
2015-05-19 00:00:00+00:00,25.48,2.28,61.83,90.11,130.07,19.99,,72.26,36.77,181.64,636.75,38.53,35.65,144.74,26.77,83.2,76.21,100.22,263.68,81.01,46.09,105.38,26.34,94.51,59.08,80.78,42.43,48.67,193.38,88.68,93.8,47.58,110.1,63.6,102.51,21.04,1371.89,20.05,80.1,69.62,56.83,107.44,103.99,43.67,49.0,28.62,86.41,228.84,22.42,47.45
2015-05-20 00:00:00+00:00,25.75,2.32,61.54,90.51,130.06,19.91,,72.3,36.72,176.95,628.24,38.9,35.58,143.49,26.92,83.69,76.04,99.61,269.9,81.11,45.94,104.17,26.27,93.6,59.08,80.36,42.77,48.75,193.25,88.36,93.24,47.58,110.27,63.13,102.52,21.04,1382.03,20.12,81.15,69.28,57.25,106.7,103.735,43.67,49.24,27.65,86.41,228.19,22.48,47.28
2015-05-21 00:00:00+00:00,25.62,2.28,61.4,90.22,131.39,20.15,,72.51,37.1,178.65,633.36,38.88,35.49,143.94,26.9,83.49,76.12,100.05,268.22,80.9,46.11,105.4,26.18,95.59,59.16,81.23,42.38,48.41,193.11,88.0,92.9,47.42,109.89,63.01,102.16,20.89,1373.39,20.0,81.26,70.09,57.32,106.87,103.89,43.38,49.8,27.63,86.9,228.91,22.5,47.8
2015-05-22 00:00:00+00:00,25.49,2.28,61.26,90.03,132.54,20.14,,72.41,37.03,175.33,626.44,38.85,35.59,143.68,26.65,84.09,76.04,100.27,268.0,80.57,46.16,105.1,26.35,93.91,59.115,81.08,42.23,48.53,192.86,87.72,92.69,46.9,110.11,63.42,102.23,20.86,1373.0,19.76,84.03,69.51,57.08,105.85,104.69,43.23,49.35,27.26,86.91,227.12,22.56,47.63
2015-05-26 00:00:00+00:00,25.41,2.22,60.89,89.12,129.62,19.99,,71.71,36.42,179.78,622.16,38.44,35.3,143.25,26.27,83.75,75.48,99.02,266.77,79.76,46.41,104.35,26.13,93.54,58.25,80.41,41.62,47.4,190.51,86.56,91.89,46.59,108.58,63.2,101.03,20.73,1359.0,19.49,82.46,69.36,57.42,104.74,103.72,43.3,48.84,27.55,85.53,226.89,22.24,47.95
2015-05-27 00:00:00+00:00,25.71,2.28,61.82,89.83,132.045,20.34,,72.84,36.87,178.25,612.5,38.7,35.57,145.42,26.37,84.06,76.41,100.38,270.01,80.78,46.45,104.4,26.39,94.5,59.98,82.66,42.53,47.18,191.35,89.23,92.59,47.61,109.22,62.69,100.83,21.84,1370.33,19.38,86.4,71.02,58.1,105.49,108.63,43.73,50.0,27.99,94.54,228.99,22.19,49.45
2015-05-28 00:00:00+00:00,25.725,2.27,61.94,89.71,131.78,20.36,,72.38,36.95,176.36,629.42,38.7,34.43,144.26,26.35,84.23,76.55,100.29,269.19,80.79,46.56,104.44,26.59,92.4,60.27,82.38,42.22,47.52,190.12,89.02,92.82,47.45,108.83,62.65,102.27,22.14,1377.25,19.43,82.3,70.6,58.65,105.34,107.65,43.51,49.83,27.66,94.63,227.49,21.94,49.11
2015-05-29 00:00:00+00:00,25.26,2.28,62.44,89.0,130.28,20.13,,71.04,37.1,179.02,615.52,38.61,34.6,142.59,26.12,83.78,76.47,100.33,268.07,80.15,45.86,104.38,26.81,90.5,59.66,82.25,42.5,46.63,188.2,88.45,92.26,46.86,108.1,62.05,102.34,22.13,1360.6,19.18,82.15,69.68,58.82,103.75,109.36,43.69,49.89,27.37,93.73,226.04,21.95,49.77
2015-06-01 00:00:00+00:00,25.395,2.25,62.04,89.41,130.535,20.31,,71.7,37.0,179.15,614.9,38.87,34.2,142.39,26.44,83.88,76.58,100.04,270.15,80.56,46.15,104.74,26.75,92.52,59.79,83.39,42.77,47.03,191.07,88.96,92.56,47.23,108.5,62.15,103.53,22.38,1362.74,19.27,80.94,69.415,59.34,103.75,109.45,43.67,49.92,27.28,93.78,228.25,21.95,49.78
2015-06-02 00:00:00+00:00,25.53,2.3,62.39,89.53,129.96,20.375,,72.1,36.88,176.31,610.57,38.16,34.34,141.4,26.31,83.82,75.11,98.25,268.95,80.47,46.73,105.72,26.81,93.67,59.35,83.28,42.67,47.05,190.77,88.49,93.17,46.92,108.41,62.18,102.22,21.935,1361.04,19.21,80.86,69.35,59.68,103.68,108.12,43.28,50.16,27.55,94.02,226.41,22.12,49.58
2015-06-03 00:00:00+00:00,25.96,2.28,62.81,91.02,130.12,20.36,,72.81,36.97,171.24,610.89,38.33,34.55,142.13,26.46,83.96,73.83,98.78,266.14,81.38,46.38,106.67,26.8,94.08,58.64,83.52,43.2,47.28,191.89,87.89,93.5,46.85,109.19,62.48,100.22,21.7,1372.99,19.34,81.55,69.86,59.59,103.59,105.39,43.12,50.73,28.265,93.92,227.31,22.23,49.55
2015-06-04 00:00:00+00:00,25.685,2.33,61.83,89.64,129.36,20.06,,73.09,36.48,171.33,611.57,37.91,35.56,140.65,26.21,82.6,73.76,97.58,263.06,80.2,45.8,104.84,26.25,93.23,57.25,82.97,42.71,46.42,190.17,86.49,92.57,46.36,107.65,62.0,100.37,22.09,1364.81,19.04,81.32,68.9,59.59,102.09,105.62,43.18,50.32,28.0,92.86,225.18,21.89,48.9
2015-06-05 00:00:00+00:00,25.77,2.33,61.9,90.12,128.65,20.15,,73.7,36.58,173.965,613.8,37.42,35.75,138.78,26.16,82.54,72.12,97.82,263.05,80.22,46.2,105.67,26.51,94.16,56.97,83.44,42.59,46.71,189.33,86.65,92.62,46.14,107.15,61.8,98.77,22.26,1366.99,19.08,83.7,68.255,59.66,102.04,105.74,42.66,50.74,28.19,92.87,226.12,21.76,49.01
2015-06-08 00:00:00+00:00,25.44,2.31,61.4,88.82,127.8,19.87,,72.16,36.4,171.09,608.12,37.69,35.51,138.05,25.92,81.87,71.98,97.29,261.45,79.59,45.9,104.35,26.63,93.12,55.97,82.25,42.26,46.24,189.37,86.28,91.9,45.73,105.57,61.38,98.12,21.75,1351.5,18.89,80.24,67.275,58.93,101.42,102.32,42.6,49.88,27.95,92.19,225.05,21.52,48.8
2015-06-09 00:00:00+00:00,25.52,2.29,60.95,88.8,127.42,19.91,,72.59,36.58,173.0,605.79,37.96,35.6,138.04,25.79,81.49,70.9,98.13,257.81,79.24,45.62,104.96,26.51,93.16,55.65,81.98,41.98,46.33,189.35,85.39,92.09,45.65,106.01,61.43,98.19,21.86,1346.35,18.85,80.05,66.84,58.7,101.91,102.24,42.44,49.48,28.08,92.07,225.82,21.57,49.24
2015-06-10 00:00:00+00:00,25.5,2.32,61.62,90.51,128.88,20.04,,73.15,37.1,172.39,608.67,38.03,35.7,139.43,26.28,81.68,70.71,98.82,260.37,80.42,46.1,106.21,26.63,92.93,56.16,82.64,42.54,47.17,189.28,86.57,94.17,46.61,107.53,61.72,99.12,21.47,1350.24,19.1,82.5,67.31,58.8,103.42,105.54,42.34,50.21,28.2,93.11,226.5,21.8,49.69
2015-06-11 00:00:00+00:00,25.3,2.32,61.65,91.8,128.59,19.78,,72.78,36.87,173.92,605.86,38.2,35.88,139.32,26.42,82.19,71.42,99.37,260.93,80.98,46.24,105.84,26.76,94.76,56.48,82.54,42.79,47.2,191.48,86.68,94.5,46.44,108.75,62.0,99.67,21.7,1358.52,19.23,82.0,67.6,59.1,104.44,105.63,42.59,50.57,28.49,92.85,227.84,21.86,49.87
2015-06-12 00:00:00+00:00,25.4,2.31,61.1,90.88,127.17,19.62,,72.86,36.72,172.26,609.76,38.11,35.77,138.78,26.71,81.4,70.71,98.54,260.72,80.32,46.25,105.12,26.88,94.15,55.89,81.46,42.33,47.47,190.98,86.31,93.77,45.97,108.71,61.89,99.24,21.11,1367.88,19.27,83.51,67.025,58.56,103.7,104.95,42.3,50.27,28.275,92.08,225.62,21.47,49.08
2015-06-15 00:00:00+00:00,24.54,2.32,60.86,88.77,126.92,19.71,,71.55,36.59,171.19,604.17,38.04,35.7,137.23,26.65,81.28,70.95,97.55,255.86,79.555,45.68,105.0,26.79,93.86,56.43,81.26,41.81,47.81,189.92,86.99,93.3,45.475,107.95,61.22,99.12,21.07,1366.35,19.38,82.18,66.625,58.55,103.53,106.11,42.09,49.74,27.91,91.66,225.13,21.19,49.27
